ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9291966";"Fuentes de beber";"174";"LOS ROSALES";"17";"VILLAVERDE";"OPERATIVO";"441371.714";"4467424.485";"ETRS89";40.35532255;-3.69042723;"CALLE";"VILLAJOYOSA";"75";"28041";"EN ZONA ESTANCIAL, JUNTO ÁREA INFANTIL";"11126805";"2023-08-11 00:00:00.0";"FUE_17_0144";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9295074";"Fuentes de beber";"116";"BUENAVISTA";"11";"CARABANCHEL";"OPERATIVO";"435858.111";"4469613.978";"ETRS89";40.37464068;-3.75557244;"CAMINO";"CRUCES";"6";"28044";"FRENTE FAROLA 13, EN MERCADILLO DE LAS CRUCES";"20078473";"2023-08-04 00:00:00.0";"FUE_11_0147";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9295144";"Fuentes de beber";"136";"NUMANCIA";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444852.165";"4472330.336";"ETRS89";40.39975496;-3.64986729;"CALLE";"RAMON PEREZ DE AYALA";"15";"28038";"PROXIMO A FAROLA 25, EN ZONA MERCADILLO DE FONTARRON";"31024347";"2023-08-18 00:00:00.0";"FUE_13_0181";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9296045";"Fuentes de beber";"107";"AGUILAS";"10";"LATINA";"OPERATIVO";"435267.340";"4470757.437";"ETRS89";40.38489575;-3.76264711;"AVENIDA";"LAS AGUILAS";"1 B";"28044";"MERCADILLO DE LATINA, JUNTO FAROLA 21";"31054966";"2023-08-22 00:00:00.0";"FUE_10_0135";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9310059";"Fuentes de beber";"011";"PALACIO";"01";"CENTRO";"CERRADA_TEMPORALMENT";"439221.559";"4473935.229";"ETRS89";40.41382065;-3.71636747;"CALLE";"SEGOVIA";"39";"28005";"DENTRO DEL ÁREA CANINA";"31033462";"2023-09-19 00:00:00.0";"FUE_01_0117";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9310077";"Fuentes de beber";"205";"ROSAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"449110.504";"4475645.039";"ETRS89";40.42988712;-3.59995451;"CALLE";"ESTOCOLMO";"26 K";"28022";"C/V C/ MANCHESTER, JUNTO AVC";"20128514";"2023-07-27 00:00:00.0";"FUE_20_0137";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"9438314";"Fuentes de beber";"084";"PILAR";"08";"FUENCARRAL-EL PARDO";"CERRADA_TEMPORALMENT";"439991.802";"4481406.761";"ETRS89";40.48118321;-3.70799558;"PASEO";"VAGUADA";"3";"28029";"BULEVARD PASEO DE LA VAGUADA JUNTO A ZONA DE CALISTENIA";"20095203";"2024-03-25 00:00:00.0";"FUE_08_0201";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9522584";"Fuentes de beber";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444612.381";"4471512.687";"ETRS89";40.39237317;-3.65262163;"CALLE";"CARLOS SOLE";"34";"28038";"JUNTO ÁREA INFANTIL CARLOS SOLÉ 34 Y CARRIL BICI";"11101165";"2024-07-09 00:00:00.0";"FUE_13_0182";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9535262";"Fuentes de beber";"103";"LUCERO";"10";"LATINA";"OPERATIVO";"435944.757";"4472153.172";"ETRS89";40.39752146;-3.75480717;"CALLE";"LOS YEBENES";"6";"28047";;"11065314";"2024-07-18 00:00:00.0";"FUE_10_0137";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9558761";"Fuentes de beber";"094";"VALDEZARZA";"09";"MONCLOA-ARAVACA";"CERRADA_TEMPORALMENT";"439351.922";"4479926.631";"ETRS89";40.46780317;-3.71540299;"CALLE";"ISLAS BISAGOS";"13";"28039";"cerca de guardería infantil";"11054647";"2024-08-22 00:00:00.0";"FUE_09_0139";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
